permit_type,dec_id,permit_issued_to,facility_name,facility_street,facility_city,facility_zip,facility_contact,facility_description,facility_mact,facility_nsps,emission_units,controls,pollutants,potential_to_emit,emission_unit_description,process_description,monitoring_type,monitoring_frequency,parameter_monitored,upper_permit_limit,lower_permit_limit
"Air Title V Facility, Title IV (Phase II Acid Rain)",1282000358,VILLAGE OF FREEPORT,FREEPORT POWER PLANT #2,289 BUFFALO AVE,FREEPORT,11520,ANTHONY FIORE,,,"A, GG","2-00004, U-00005","CATALYTIC OXIDATION, SELECTIVE CATALYTIC REDUCTION (SCR), WATER INJECTION","AMMONIA, CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,1282000457,HOFSTRA UNIVERSITY,HOFSTRA UNIVERSITY,1000 FULTON AVE,HEMPSTEAD,11550,"GREGG HOMEYER, ROUX ASSOCIATES INC",,"JJJJJJ, ZZZZ",Dc,"U-00001, U-00017, U-00101",,"CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,1282000553,NATIONAL GRID GENERATION LLC,EF BARRETT POWER STATION,1 MCCARTHY RD,ISLAND PARK,11558,CHRISTOPHER CORRADO,,,,"U-00001, U-00002, U-00003, U-00004, U-00005, U-00006, U-00007, U-00008, U-00009, U-00010, U-00011, U-00012, U-00013, U-00014, U-00015, U-00016, U-00017, U-00018, U-00019, U-000S4, U-000S8",,"CARBON DIOXIDE, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
Air Title V Facility,1282000753,VILLAGE OF ROCKVILLE CENTRE,ROCKVILLE CENTRE POWER PLANT,110 MAPLE AVE,ROCKVILLE CTR,11571,PAUL J PALLAS,,ZZZZ,,1-RVCPP,"CHEMICAL OXIDATION, SELECTIVE CATALYTIC REDUCTION (SCR)","CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air Title V Facility,1282000947,GLOBAL COMPANIES LLC,GLOBAL COMPANIES LLC - INWOOD TERMINAL,464 DOUGHTY BLVD,INWOOD,11096,HANK M MEYERHOEFER,,BBBBBB,"A, Kb, XX","1-RACK1, 1-TANKS","FLOATING ROOF, VAPOR RECOVERY SYS(INCL.CONDENSERS,HOODING, OTHER ENCLOSURES)","1, 1 BIPHENYL, 1,3 DIMETHYL BENZENE, 2-METHYL-PHENOL, BENZENE, BENZENE, (1-METHYLETHYL), ETHYLBENZENE, HEXANE, METHYL TERTBUTYL ETHER, NAPHTHALENE, PENTANE, 2,2,4-TRIMETHYL-, PHENOL, TOLUENE, TOTAL HAP, VOC",,,,,,,,
Air Title V Facility,1282001085,CARBO INDUSTRIES INC,CARBO INDUSTRIES PROPERTY,1 BAY BLVD,LAWRENCE,11559,"CLIFFORD HOCHHAUSER, GLENN WIETING",,"BBBBBB, R","A, Kb, XX","1-MISCP, 1-RACKS, 1-TANKS","FLOATING ROOF, VAPOR RECOVERY SYS(INCL.CONDENSERS,HOODING, OTHER ENCLOSURES)","BENZENE, HAP, HEXANE, NAPHTHALENE, TOLUENE, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
Air Title V Facility,1282001549,MOTIVA ENTERPRISES LLC,MOTIVA ENTERPRISES LLC PROPERTY,74 EAST AVE,LAWRENCE,11559,JAMES W LINTZ,,"BBBBBB, R","A, XX","T-TANKS, U-00001, U-00012, U-00013","FLOATING ROOF, VAPOR RECOVERY SYS(INCL.CONDENSERS,HOODING, OTHER ENCLOSURES)","BENZENE, ETHYLBENZENE, HAP, HEXANE, PENTANE, 2,2,4-TRIMETHYL-, TOLUENE, VOC, XYLENE, M, O & P MIXT.",,,,,,,,
Air Title V Facility,1282001727,COVANTA HEMPSTEAD COMPANY,HEMPSTEAD RESOURCE RECOVERY FACILITY,600 MERCHANTS CONCOURSE,WESTBURY,11590,"ALFRED TARSITANO, SCOTT WHEELER",,,Cb,U-UNITS,"FABRIC FILTER, SPRAY TOWER","2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN, CADMIUM, CARBON MONOXIDE, HYDROGEN CHLORIDE, LEAD, MERCURY, OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE, VOC",,,,,,,,
"Air Title V Facility, Title IV (Phase II Acid Rain)",1282004508,EQUUS POWER 1 LP,EQUUS FREEPORT POWER GENERATING STATION,289 BUFFALO AVE,FREEPORT,11520,KENNETH FORD,,,"A, GG",U-00001,"CATALYTIC OXIDATION, SELECTIVE CATALYTIC REDUCTION (SCR), WATER INJECTION","AMMONIA, CARBON MONOXIDE, OXIDES OF NITROGEN, PARTICULATES",,,,,,,,
Air Title V Facility,1282200481,NATIONAL GRID GENERATION LLC,GLENWOOD COMBUSTION TURBINE FACILITY,SHORE RD,GLENWOOD LANDING,11547,PAUL A LYNCH,,,,"U-00020, U-00021",,"OXIDES OF NITROGEN, PARTICULATES, SULFUR DIOXIDE",,,,,,,,
